,Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
8497,2020-07-20 18:32:22,1285281409318486023,False,"So Kanye West has gone completely bonkers. 
Give that man his own tv show now so we can follow the bonkers around..… https://t.co/HytnGMTU7Z",bluredfrank,Etc.,Twitter for Android,2,8463,9306,0
8498,2020-07-20 18:32:20,1285281401122717696,False,"#Opinion 

Bigger issue here isn't whether or not #KanyeWest is seeking a presidential run. But his publicized ment… https://t.co/7U49XiRkPw",C_Rich75,Global & Universal,Twitter Web App,7,2351,3457,1
8499,2020-07-20 18:32:17,1285281391681449985,False,"Repost from @bighurtrocks
•
Harriett Tubman’s ghost isn’t the only one suffering right now. #kanyewest #wshh… https://t.co/lr35n48dyP",Teedouble1,Brooklyn. Where it all Started,Instagram,1,199,863,0
8500,2020-07-20 18:32:12,1285281369518510081,False,"“Harriet Tubman never actually freed the slaves, she just had the slaves go work for other white people."" -… https://t.co/zWoFOh0Pya",radioheadarmy,West Coast ,Twitter for iPhone,1,44,110,0
8501,2020-07-20 18:32:07,1285281346965983233,False,@KimKardashian It s so bizarr #KimKardashianWest  and #TheKardashians  don t says nothing for #Kanye2020  😂😂😂 #tmz… https://t.co/KBrrmhwPE7,Chachw3,,Twitter for Android,1,0,0,1
8502,2020-07-20 18:32:02,1285281326740893696,False,"RT @AttorneyCrump: Dear Kanye, a Black history textbook is in the mail. Read it, then learn to respect Harriet Tubman’s legacy. #kanyewest…",U_M_B_A,"Los Angeles, CA",Twitter for iPhone,0,1048,1017,3778
8503,2020-07-20 18:31:48,1285281269170024456,False,look away #ExtremeRules          #KanyeWest #ExtremeRules2020 #entanglement #90dayfiance #TheChi           #NEOWISE… https://t.co/2V0lKw5Hd6,stylestbsl,she/her ,Twitter for iPhone,0,1440,563,0
8504,2020-07-20 18:31:45,1285281254980481026,False,Why is anyone still enabling this mentally disturbed man? He needs to be gently led back to his meds and then compl… https://t.co/b6gAi8Izha,LAFwriter,"Denver, Colorado",Twitter Web App,1,1616,4055,0
8505,2020-07-20 18:31:42,1285281243211472898,False,"RT @AttorneyCrump: Dear Kanye, a Black history textbook is in the mail. Read it, then learn to respect Harriet Tubman’s legacy. #kanyewest…",Godofthunder571,Paradise ,Twitter for iPhone,0,9,210,3778
8506,2020-07-20 18:31:40,1285281234252431361,False,Look away oomfs I’m almost done #ExtremeRules          #KanyeWest #ExtremeRules2020 #entanglement #90dayfiance… https://t.co/vmhsRhMwMz,stylestbsl,she/her ,Twitter for iPhone,0,1440,563,0
8507,2020-07-20 18:31:40,1285281234076172288,False,"Best caption wins! 🤣
#Kanye2020 #KanyeWest #meme #RETWEEET #lmao https://t.co/p51SINsDF3",1S0FL0,"Florida, USA",Twitter for iPhone,0,46,60,0
8508,2020-07-20 18:31:38,1285281225163210752,False,"RT @tiffanicvd: SAME ENERGY. 👀👀👀

#kanye #kanyewest #getout https://t.co/O4ZPsp4P6H",w0nderch1ld,"Los Angeles, CA",Twitter for iPhone,0,31,55,65
8509,2020-07-20 18:31:26,1285281177415438336,False,pls #ExtremeRules          #KanyeWest #ExtremeRules2020 #entanglement #90dayfiance #TheChi           #NEOWISE… https://t.co/cWJ2T9F1Fy,stylestbsl,she/her ,Twitter for iPhone,0,1440,563,0
8510,2020-07-20 18:31:26,1285281176605937664,False,Dead weight cant save em all head ass 🤷🏽‍♀️👑 #KanyeWest #WhatsTheBuzzQB @ Ova East Bmore https://t.co/gXduzz19rq,QueenBdmv,TX born » DMV raised,Instagram,0,926,1283,0
8511,2020-07-20 18:31:15,1285281129130598400,False,LETS GOOOOO ITS THE FINAL STRETCH #ExtremeRules          #KanyeWest #ExtremeRules2020 #entanglement #90dayfiance… https://t.co/kaeE4lYqWT,stylestbsl,she/her ,Twitter for iPhone,1,1440,563,0
8512,2020-07-20 18:31:07,1285281096347910145,False,"RT @GlossyLuxeCo: 🎉Glossy Luxe Co. GIVEAWAY🎉

This Is A Thank You To Anyone Who Has Valued Our Growth
••••
For This GIVEAWAY We Have Partne…",briarenee_,STL,Twitter for iPhone,0,6527,3325,4
8513,2020-07-20 18:31:05,1285281087585955840,False,@La_Bella_Amor It’s more like we won’t blame @KimKardashian for packing up herself and children to find a safe have… https://t.co/HpdBdbR6Uw,jensunshine12,,Twitter for iPhone,1,70,298,1
8514,2020-07-20 18:30:51,1285281029347880960,False,"RT @SecularSinnerr: The Kardashian family is apparently very concerned with Kanye and says he needs Therapy. 
The man is Delusional... 
He…",ShalynLowe,"Arizona, USA",Twitter for iPhone,0,372,166,2
8515,2020-07-20 18:30:22,1285280908388573185,False,"RT @GlossyLuxeCo: 🎉Glossy Luxe Co. GIVEAWAY🎉

This Is A Thank You To Anyone Who Has Valued Our Growth
••••
For This GIVEAWAY We Have Partne…",missbdollhouse,st. louis,Twitter for iPhone,0,15,14,4
8516,2020-07-20 18:30:19,1285280893741993986,False,RT @EdtheSock: #KanyeWest has mental illness and everyone supporting his delusional run for President and those media covering it for amuse…,Parisslovee_,"Houston, TX",Twitter for iPhone,0,1024,840,178
8517,2020-07-20 18:30:16,1285280882958295041,False,RT @treymarley22: #kanyewest on some serious drugs💀 https://t.co/em5n6oH4Mj,MessyJaggles,space,Twitter for iPhone,0,83,112,11
8518,2020-07-20 18:30:12,1285280866147667968,False,"#KanyeWest has so much feeling and passion.  I think he really wants to do good things for humanity, but he needs s… https://t.co/AUi0WuSd73",jefflovegrove,Northeast GA,Twitter for Android,0,183,94,0
8519,2020-07-20 18:29:46,1285280756558856199,False,"#HarrietTubman was a hero
Stop listening to stupid, lying mouthpieces aka #Trump #Republicans  #KanyeWest https://t.co/xGKlcfWXTt",fastgirl600rr,Texas,Twitter Web App,0,117,534,0
8520,2020-07-20 18:29:43,1285280745909448704,False,The media will always twist what Kanye says and will always make him seem like he ain’t alright. I think it takes a… https://t.co/1VnqWNnTWV,GeicoStrozyk,"Edmonton, Alberta, Canada",Twitter for iPhone,1,426,3919,0
8521,2020-07-20 18:29:39,1285280726942916609,False,RT @EdtheSock: #KanyeWest has mental illness and everyone supporting his delusional run for President and those media covering it for amuse…,kwesipare,"Taunton, MA",Twitter for iPhone,0,76,679,178
8522,2020-07-20 18:29:28,1285280681023569920,False,RT @Mkael25: Allen West and #KanyeWest are known as BINOs (Black In Name Only) they are great tools for the RACIST Republicans to use as at…,covidexpendable,,Twitter for Android,0,30,30,1
8523,2020-07-20 18:29:25,1285280668310745089,False,RT @HeraldNGNews: A tearful #KanyeWest launches presidential campaign with rambling rally https://t.co/Me3hsj1B8m,Heraldnigeria2,,Twitter for Android,0,92,1,1
8524,2020-07-20 18:29:23,1285280660941410304,False,"RT @AttorneyCrump: Dear Kanye, a Black history textbook is in the mail. Read it, then learn to respect Harriet Tubman’s legacy. #kanyewest…",HOUGHLO,,Twitter Web App,0,80,1003,3778
8525,2020-07-20 18:29:20,1285280648064892928,False,"RT @AttorneyCrump: Dear Kanye, a Black history textbook is in the mail. Read it, then learn to respect Harriet Tubman’s legacy. #kanyewest…",AVD911,Metro Detroit,Twitter for iPhone,0,5254,3948,3778
8526,2020-07-20 18:29:12,1285280615751811073,False,"RT @TallB14: She killed it😂🤣😂
#KimKardashian #KanyeWest https://t.co/wqHJON4Gui",NiobeNancy,,Twitter for iPhone,0,17,86,162
8527,2020-07-20 18:28:59,1285280558671630336,False,"#KanyeWest it’s sad how everyone is calling Ye psychotic and making fun of him, how would U feel about being almost… https://t.co/y6clx934oF",SiyaSikhakhane_,On Top of the World 🌍,Twitter for iPhone,16,11106,9823,1
8528,2020-07-20 18:28:54,1285280538388029442,False,RT @thetrue100media: A girl who attended #KanyeWest’s rally in #CharlestonSC explains their now viral debate where he called her out in fro…,ITsAbt_ME,montgomery al,Twitter for iPhone,0,303,2361,20
